Name,Time,Score
Krish,2024-11-29 13:24:21,25
Ankit,2024-11-29 13:20:19,11
Player,2024-11-29 13:34:26,5
Player,2024-11-29 13:37:32,5
Player,2024-11-29 13:37:45,4
Player,2024-11-29 17:43:29,4
John,2024-11-29 13:30:57,3
Player,2024-11-29 13:34:40,3
Player,2024-11-29 13:47:09,3
Player,2024-11-29 13:51:16,3
Player,2024-11-29 13:58:34,3
Player,2024-11-29 13:58:49,3
Player,2024-11-29 13:31:07,2
Player,2024-11-29 13:34:12,2
Player,2024-11-29 13:40:44,2
Player,2024-11-29 13:42:54,2
Player,2024-11-29 13:47:15,2
Player,2024-11-29 13:47:25,2
Player,2024-11-29 13:47:42,2
Player,2024-11-29 13:49:39,2
Player,2024-11-29 13:50:10,2
Player,2024-11-29 13:50:54,2
Player,2024-11-29 13:55:15,2
Player,2024-11-29 13:58:09,2
Player,2024-11-29 14:00:51,2
Player,2024-11-29 14:03:24,2
Ankit,2024-11-29 17:43:07,2
Player,2024-11-29 13:34:16,1
Player,2024-11-29 13:37:22,1
Player,2024-11-29 13:42:47,1
Player,2024-11-29 13:42:57,1
Player,2024-11-29 13:43:01,1
Player,2024-11-29 13:45:12,1
Player,2024-11-29 13:47:18,1
Player,2024-11-29 13:47:34,1
Player,2024-11-29 13:50:05,1
Player,2024-11-29 13:50:40,1
Player,2024-11-29 13:55:18,1
Player,2024-11-29 14:03:04,1
Player,2024-11-29 13:45:03,0
Player,2024-11-29 13:47:28,0
